УГОЛКИ СТАЛЬНЫЕ ГОРЯЧЕКАТАННЫЕ РАВНОПОЛОЧНЫЕ по ГОСТ 8509-86
EUJKRB
уголки
УГОЛКИ СТАЛЬНЫЕ ГОРЯЧЕКАТАННЫЕ РАВНОПОЛОЧНЫЕ по ГОСТ 8509-86
b(мм)	t	P	F	R	r	Jx	Wx	ix	Jx0	ix0	Jy0	Wy0	iy0	Jxy	Z0
20	3	0,89	1,13	3,5	1,2	0,40	0,28	0,59	0,63	0,75	0,17	0,20	0,39	0,23	0,60
20	4	1,15	1,46	3,5	1,2	0,50	0,37	0,58	0,78	0,73	0,22	0,24	0,38	0,28	0,64
25	3	1,12	1,43	3,5	1,2	0,81	0,46	0,75	1,29	0,95	0,34	0,33	0,49	0,47	0,73
25	4	1,46	1,86	3,5	1,2	1,03	0,59	0,74	1,62	0,93	0,44	0,41	0,48	0,59	0,76
25	5	1,78	2,27	3,5	1,2	1,22	0,71	0,73	1,91	0,92	0,53	0,47	0,48	0,69	0,80
28	3	1,27	1,62	4	1,3	1,16	0,58	0,85	1,84	1,07	0,48	0,42	0,55	0,68	0,80
30	3	1,36	1,74	4	1,3	1,45	0,67	0,91	2,30	1,15	0,60	0,53	0,59	0,85	0,85
30	4	1,78	2,27	4	1,3	1,84	0,87	0,80	2,92	1,13	0,77	0,61	0,58	1,08	0,89
30	5	2,18	2,78	4	1,3	2,20	1,06	0,89	3,47	1,12	0,94	0,71	0,58	1,27	0,93
32	3	1,46	1,86	4,5	1,5	1,77	0,77	0,97	2,80	1,23	0,74	0,59	0,63	1,03	0,89
32	4	1,91	2,43	4,5	1,5	2,26	1,00	0,96	3,58	1,21	0,94	0,71	0,62	1,32	0,94
35	3	1,60	2,04	4,5	1,5	2,35	0,93	1,07	3,72	1,35	0,97	0,71	0,69	1,37	0,97
35	4	2,10	2,17	4,5	1,5	3,01	1,21	1,06	4,76	1,33	1,25	0,88	0,68	1,75	1,01
35	5	2,58	3,28	4,5	1,5	3,61	1,47	1,05	5,71	1,32	1,52	1,02	0,68	2,10	1,05
40	3	1,85	2,36	5	1,7	3,55	1,22	1,23	5,63	1,55	1,47	0,95	0,79	2,08	1,09
40	4	2,42	3,08	5	1,7	4,58	1,60	1,22	7,26	1,53	1,90	1,19	0,78	2,68	1,13
40	5	2,98	3,79	5	1,7	5,53	1,95	1,20	8,75	1,52	2,30	1,39	0,78	3,22	1,17
40	6	3,52	4,48	5	1,7	6,41	2,30	1,20	10,13	1,50	2,70	1,58	0,78	3,72	1,21
