ШВЕЛЛЕРЫ СТАЛЬНЫЕ ГОРЯЧЕКАТАННЫЕ по ГОСТ 8240-89 (с уклоном внутр. граней полок)
№	h(мм)	b(мм)	s(мм)	t(мм)	R(мм)	r(мм)	F(см2)	P(кг/м.п.)	Jx(см4)	Wx(см3)	ix(см)	Sx(см3)	Jy(см4)	Wy(см3)	iy(см)	Z0
5	50	32	4,4	7,0	6,0	2,5	6,16	4,84	22,8	9,1	1,92	5,59	5,61	2,75	0,95	1,16
6,5	65	36	4,4	7,2	6,0	2,5	7,51	5,90	48,6	15,0	2,54	9,00	8,70	3,68	1,08	1,24
8	80	40	4,5	7,4	6,5	2,5	8,98	7,05	89,4	22,4	3,16	13,00	12,80	4,75	1,19	1,31
10	100	46	4,5	7,6	7,0	3,0	10,90	8,59	174,0	34,8	3,99	20,40	20,40	6,46	1,37	1,44
12	120	52	4,8	7,8	7,5	3,0	13,30	10,40	304,0	50,6	4,78	29,60	31,20	8,52	1,53	1,54
14	140	58	4,9	8,1	8,0	3,0	15,60	12,30	491,0	70,2	5,60	40,80	45,40	11,00	1,70	1,67
16	160	64	5,0	8,4	8,5	3,5	18,10	14,20	747,0	93,4	6,42	54,10	63,30	13,80	1,87	1,80
16Р°	160	68	5,0	9,0	8,5	3,5	19,50	15,30	823,0	103,0	6,49	59,40	78,80	16,40	2,01	2,00
18	180	70	5,1	8,7	9,0	3,5	20,70	16,30	1090,0	121,0	7,24	69,80	86,00	17,00	2,04	1,94
18Р°	180	74	5,1	9,3	9,0	3,5	22,20	17,40	1190,0	132,0	7,32	76,10	105,0	20,00	2,18	2,13
20	200	76	5,2	9,0	9,5	4,0	23,40	18,40	1520,0	152,0	8,07	87,80	113,0	20,50	2,20	2,07
22	220	82	5,4	9,5	10,0	4,0	26,70	21,00	2110,0	192,0	8,89	110,00	151,0	25,10	2,37	2,21
24	240	90	5,6	10,0	10,5	4,0	30,60	24,00	2900,0	242,0	9,73	139,00	208,0	31,60	2,60	2,42
27	270	95	6,0	10,5	11,0	4,5	35,20	27,70	4160,0	308,0	10,90	178,00	262,0	37,30	2,73	2,47
30	300	100	6,5	11,0	12,0	5,0	40,50	31,80	5810,0	387,0	12,00	224,00	327,0	43,60	2,84	2,52
33	330	105	7,0	11,7	13,0	5,0	46,50	36,50	7980,0	484,0	13,10	281,00	410,0	51,80	2,97	2,59
36	360	110	7,5	12,6	14,0	6,0	53,40	41,90	10820,0	601,0	14,20	350,00	513,0	61,70	3,10	2,68
40	400	115	8,0	13,5	15,0	6,0	61,50	48,30	15220,0	761,0	15,70	444,00	642,0	73,40	3,23	2,75
